Muestas,Series,Be-mean,y(k),n in box,Box,Slope,y-intercept,Slope,y-intercept,yn(k),[y(k)-yn(k)]^2,,n in box,Log(n),LogF(n),nb of boxes,,,,
115,1.127,-0.023,-2.253,5,12,,,-0.030,1.164,-2.269,2.54E-04,,,,,,,,,
116,1.127,-0.023,-2.275,6,12,,,-0.030,1.164,-2.299,5.42E-04,,,,,,,,,
117,1.107,-0.043,-2.318,7,12,,,-0.030,1.164,-2.329,1.13E-04,,,,,,,,,
118,1.12,-0.030,-2.347,8,12,,,-0.030,1.164,-2.358,1.20E-04,,,,,,,,,
119,1.1,-0.050,-2.397,9,12,,,-0.030,1.164,-2.388,7.55E-05,,,,,,,,,
120,1.1,-0.050,-2.446,10,12,,,-0.030,1.164,-2.418,8.03E-04,,,,,,,,,
121,1.1,-0.050,-2.496,1,13,-0.007,-1.654,-0.007,-1.654,-2.550,2.89E-03,,,,,,,,,
122,1.12,-0.030,-2.526,2,13,,,-0.007,-1.654,-2.557,1.00E-03,,,,,,,,,
123,1.1,-0.050,-2.575,3,13,,,-0.007,-1.654,-2.565,1.09E-04,,,,,,,,,
124,1.117,-0.033,-2.608,4,13,,,-0.007,-1.654,-2.572,1.26E-03,,,,,,,,,
125,1.127,-0.023,-2.630,5,13,,,-0.007,-1.654,-2.579,2.57E-03,,,,,,,,,
126,1.147,-0.003,-2.633,6,13,,,-0.007,-1.654,-2.587,2.09E-03,,,,,,,,,
127,1.17,0.020,-2.612,7,13,,,-0.007,-1.654,-2.594,3.19E-04,,,,,,,,,
128,1.167,0.017,-2.595,8,13,,,-0.007,-1.654,-2.602,4.96E-05,,,,,,,,,
129,1.16,0.010,-2.584,9,13,,,-0.007,-1.654,-2.609,6.22E-04,,,,,,,,,
130,1.16,0.010,-2.574,10,13,,,-0.007,-1.654,-2.616,1.83E-03,,,,,,,,,
131,1.157,0.007,-2.566,1,14,-0.040,2.649,-0.040,2.649,-2.548,3.33E-04,,,,,,,,,
132,1.123,-0.027,-2.593,2,14,,,-0.040,2.649,-2.587,2.57E-05,,,,,,,,,
133,1.12,-0.030,-2.622,3,14,,,-0.040,2.649,-2.627,2.59E-05,,,,,,,,,
134,1.12,-0.030,-2.652,4,14,,,-0.040,2.649,-2.667,2.33E-04,,,,,,,,,
135,1.113,-0.037,-2.688,5,14,,,-0.040,2.649,-2.706,3.39E-04,,,,,,,,,
136,1.103,-0.047,-2.735,6,14,,,-0.040,2.649,-2.746,1.34E-04,,,,,,,,,
137,1.09,-0.060,-2.794,7,14,,,-0.040,2.649,-2.786,6.81E-05,,,,,,,,,
138,1.107,-0.043,-2.837,8,14,,,-0.040,2.649,-2.825,1.23E-04,,,,,,,,,
139,1.107,-0.043,-2.879,9,14,,,-0.040,2.649,-2.865,1.94E-04,,,,,,,,,
140,1.13,-0.020,-2.899,10,14,,,-0.040,2.649,-2.905,3.89E-05,,,,,,,,,
141,1.163,0.013,-2.885,1,15,-0.014,-0.866,-0.014,-0.866,-2.881,1.89E-05,,,,,,,,,
142,1.147,-0.003,-2.888,2,15,,,-0.014,-0.866,-2.895,5.54E-05,,,,,,,,,
143,1.113,-0.037,-2.924,3,15,,,-0.014,-0.866,-2.909,2.18E-04,,,,,,,,,
144,1.14,-0.010,-2.934,4,15,,,-0.014,-0.866,-2.924,9.96E-05,,,,,,,,,
145,1.163,0.013,-2.920,5,15,,,-0.014,-0.866,-2.938,3.17E-04,,,,,,,,,
146,1.13,-0.020,-2.940,6,15,,,-0.014,-0.866,-2.952,1.59E-04,,,,,,,,,
