Muestas,Series,Be-mean,y(k),n in box,Box,Slope,y-intercept,Slope,y-intercept,yn(k),[y(k)-yn(k)]^2,,n in box,Log(n),LogF(n),nb of boxes,,,,
513,1.163,0.013,-0.923,3,52,,,0.018,-9.933,-0.926,1.41E-05,,,,,,,,,
514,1.163,0.013,-0.909,4,52,,,0.018,-9.933,-0.909,9.55E-08,,,,,,,,,
515,1.157,0.007,-0.902,5,52,,,0.018,-9.933,-0.891,1.08E-04,,,,,,,,,
516,1.16,0.010,-0.891,6,52,,,0.018,-9.933,-0.874,3.04E-04,,,,,,,,,
517,1.167,0.017,-0.874,7,52,,,0.018,-9.933,-0.856,3.06E-04,,,,,,,,,
518,1.19,0.040,-0.833,8,52,,,0.018,-9.933,-0.839,2.97E-05,,,,,,,,,
519,1.167,0.017,-0.816,9,52,,,0.018,-9.933,-0.821,2.90E-05,,,,,,,,,
520,1.177,0.027,-0.788,10,52,,,0.018,-9.933,-0.803,2.35E-04,,,,,,,,,
521,1.16,0.010,-0.778,1,53,0.026,-14.432,0.026,-14.432,-0.795,3.05E-04,,,,,,,,,
522,1.157,0.007,-0.770,2,53,,,0.026,-14.432,-0.769,1.50E-06,,,,,,,,,
523,1.177,0.027,-0.743,3,53,,,0.026,-14.432,-0.743,9.40E-09,,,,,,,,,
524,1.163,0.013,-0.729,4,53,,,0.026,-14.432,-0.717,1.58E-04,,,,,,,,,
525,1.177,0.027,-0.702,5,53,,,0.026,-14.432,-0.690,1.27E-04,,,,,,,,,
526,1.183,0.033,-0.668,6,53,,,0.026,-14.432,-0.664,1.55E-05,,,,,,,,,
527,1.183,0.033,-0.635,7,53,,,0.026,-14.432,-0.638,1.14E-05,,,,,,,,,
528,1.163,0.013,-0.621,8,53,,,0.026,-14.432,-0.612,8.64E-05,,,,,,,,,
529,1.193,0.043,-0.578,9,53,,,0.026,-14.432,-0.586,6.44E-05,,,,,,,,,
530,1.177,0.027,-0.550,10,53,,,0.026,-14.432,-0.560,8.73E-05,,,,,,,,,
531,1.193,0.043,-0.507,1,54,0.018,-9.915,0.018,-9.915,-0.480,7.33E-04,,,,,,,,,
532,1.173,0.023,-0.483,2,54,,,0.018,-9.915,-0.462,4.56E-04,,,,,,,,,
533,1.177,0.027,-0.456,3,54,,,0.018,-9.915,-0.444,1.35E-04,,,,,,,,,
534,1.183,0.033,-0.422,4,54,,,0.018,-9.915,-0.426,1.69E-05,,,,,,,,,
535,1.207,0.057,-0.365,5,54,,,0.018,-9.915,-0.409,1.92E-03,,,,,,,,,
536,1.17,0.020,-0.344,6,54,,,0.018,-9.915,-0.391,2.17E-03,,,,,,,,,
537,1.15,0.000,-0.344,7,54,,,0.018,-9.915,-0.373,8.58E-04,,,,,,,,,
538,1.133,-0.017,-0.360,8,54,,,0.018,-9.915,-0.355,2.48E-05,,,,,,,,,
539,1.16,0.010,-0.350,9,54,,,0.018,-9.915,-0.337,1.50E-04,,,,,,,,,
540,1.133,-0.017,-0.366,10,54,,,0.018,-9.915,-0.320,2.16E-03,,,,,,,,,
541,1.14,-0.010,-0.376,1,55,0.019,-10.444,0.019,-10.444,-0.402,6.97E-04,,,,,,,,,
542,1.137,-0.013,-0.388,2,55,,,0.019,-10.444,-0.384,2.18E-05,,,,,,,,,
543,1.157,0.007,-0.381,3,55,,,0.019,-10.444,-0.365,2.48E-04,,,,,,,,,
544,1.16,0.010,-0.370,4,55,,,0.019,-10.444,-0.346,5.66E-04,,,,,,,,,
545,1.18,0.030,-0.340,5,55,,,0.019,-10.444,-0.328,1.41E-04,,,,,,,,,
546,1.193,0.043,-0.296,6,55,,,0.019,-10.444,-0.309,1.71E-04,,,,,,,,,
547,1.167,0.017,-0.279,7,55,,,0.019,-10.444,-0.291,1.44E-04,,,,,,,,,
548,1.17,0.020,-0.258,8,55,,,0.019,-10.444,-0.272,1.94E-04,,,,,,,,,
549,1.15,0.000,-0.258,9,55,,,0.019,-10.444,-0.254,1.71E-05,,,,,,,,,
550,1.167,0.017,-0.240,10,55,,,0.019,-10.444,-0.235,2.70E-05,,,,,,,,,
551,1.147,-0.003,-0.243,1,56,-0.017,8.994,-0.017,8.994,-0.220,5.37E-04,,,,,,,,,
552,1.143,-0.007,-0.249,2,56,,,-0.017,8.994,-0.236,1.68E-04,,,,,,,,,
553,1.153,0.003,-0.246,3,56,,,-0.017,8.994,-0.253,5.26E-05,,,,,,,,,
554,1.15,0.000,-0.245,4,56,,,-0.017,8.994,-0.270,5.99E-04,,,,,,,,,
555,1.13,-0.020,-0.265,5,56,,,-0.017,8.994,-0.286,4.70E-04,,,,,,,,,
556,1.117,-0.033,-0.297,6,56,,,-0.017,8.994,-0.303,3.49E-05,,,,,,,,,
557,1.127,-0.023,-0.320,7,56,,,-0.017,8.994,-0.320,1.62E-08,,,,,,,,,
558,1.13,-0.020,-0.339,8,56,,,-0.017,8.994,-0.337,7.05E-06,,,,,,,,,
559,1.123,-0.027,-0.366,9,56,,,-0.017,8.994,-0.353,1.55E-04,,,,,,,,,
560,1.137,-0.013,-0.378,10,56,,,-0.017,8.994,-0.370,6.75E-05,,,,,,,,,
561,1.117,-0.033,-0.411,1,57,0.025,-14.454,0.025,-14.454,-0.436,6.41E-04,,,,,,,,,
562,1.14,-0.010,-0.420,2,57,,,0.025,-14.454,-0.411,8.43E-05,,,,,,,,,
563,1.177,0.027,-0.393,3,57,,,0.025,-14.454,-0.386,4.45E-05,,,,,,,,,
564,1.143,-0.007,-0.399,4,57,,,0.025,-14.454,-0.361,1.46E-03,,,,,,,,,
565,1.2,0.050,-0.349,5,57,,,0.025,-14.454,-0.336,1.60E-04,,,,,,,,,
566,1.207,0.057,-0.291,6,57,,,0.025,-14.454,-0.311,3.94E-04,,,,,,,,,
567,1.177,0.027,-0.264,7,57,,,0.025,-14.454,-0.286,5.00E-04,,,,,,,,,
568,1.163,0.013,-0.250,8,57,,,0.025,-14.454,-0.261,1.18E-04,,,,,,,,,
569,1.18,0.030,-0.220,9,57,,,0.025,-14.454,-0.236,2.68E-04,,,,,,,,,
570,1.13,-0.020,-0.239,10,57,,,0.025,-14.454,-0.211,7.90E-04,,,,,,,,,
571,1.153,0.003,-0.236,1,58,0.017,-9.958,0.017,-9.958,-0.252,2.48E-04,,,,,,,,,
572,1.15,0.000,-0.235,2,58,,,0.017,-9.958,-0.235,5.47E-07,,,,,,,,,
573,1.16,0.010,-0.225,3,58,,,0.017,-9.958,-0.218,5.25E-05,,,,,,,,,
574,1.157,0.007,-0.217,4,58,,,0.017,-9.958,-0.201,2.80E-04,,,,,,,,,
575,1.163,0.013,-0.204,5,58,,,0.017,-9.958,-0.184,4.10E-04,,,,,,,,,
576,1.187,0.037,-0.166,6,58,,,0.017,-9.958,-0.167,6.17E-08,,,,,,,,,
577,1.193,0.043,-0.123,7,58,,,0.017,-9.958,-0.150,7.15E-04,,,,,,,,,
578,1.157,0.007,-0.115,8,58,,,0.017,-9.958,-0.133,2.97E-04,,,,,,,,,
579,1.15,0.000,-0.115,9,58,,,0.017,-9.958,-0.116,5.47E-07,,,,,,,,,
580,1.15,0.000,-0.114,10,58,,,0.017,-9.958,-0.099,2.48E-04,,,,,,,,,
581,1.123,-0.027,-0.141,1,59,0.021,-12.261,0.021,-12.261,-0.180,1.56E-03,,,,,,,,,
582,1.143,-0.007,-0.147,2,59,,,0.021,-12.261,-0.160,1.47E-04,,,,,,,,,
583,1.147,-0.003,-0.150,3,59,,,0.021,-12.261,-0.139,1.24E-04,,,,,,,,,
584,1.163,0.013,-0.136,4,59,,,0.021,-12.261,-0.118,3.41E-04,,,,,,,,,
585,1.163,0.013,-0.123,5,59,,,0.021,-12.261,-0.097,6.63E-04,,,,,,,,,
586,1.167,0.017,-0.105,6,59,,,0.021,-12.261,-0.076,8.44E-04,,,,,,,,,
587,1.177,0.027,-0.078,7,59,,,0.021,-12.261,-0.056,4.99E-04,,,,,,,,,
588,1.2,0.050,-0.027,8,59,,,0.021,-12.261,-0.035,5.41E-05,,,,,,,,,
589,1.197,0.047,0.020,9,59,,,0.021,-12.261,-0.014,1.16E-03,,,,,,,,,
590,1.15,0.000,0.021,10,59,,,0.021,-12.261,0.007,1.89E-04,,,,,,,,,
591,1.143,-0.007,0.014,1,60,0.003,-1.885,0.003,-1.885,0.012,2.62E-06,,,,,,,,,
592,1.147,-0.003,0.012,2,60,,,0.003,-1.885,0.016,1.68E-05,,,,,,,,,
593,1.15,0.000,0.012,3,60,,,0.003,-1.885,0.019,4.64E-05,,,,,,,,,
594,1.16,0.010,0.023,4,60,,,0.003,-1.885,0.022,2.23E-07,,,,,,,,,
595,1.157,0.007,0.030,5,60,,,0.003,-1.885,0.025,2.26E-05,,,,,,,,,
596,1.153,0.003,0.034,6,60,,,0.003,-1.885,0.029,2.54E-05,,,,,,,,,
597,1.15,0.000,0.034,7,60,,,0.003,-1.885,0.032,5.42E-06,,,,,,,,,
598,1.153,0.003,0.038,8,60,,,0.003,-1.885,0.035,6.82E-06,,,,,,,,,
599,1.157,0.007,0.045,9,60,,,0.003,-1.885,0.038,4.76E-05,,,,,,,,,
600,1.133,-0.017,0.029,10,60,,,0.003,-1.885,0.041,1.64E-04,,,,,,,,,
601,1.137,-0.013,0.016,1,61,-0.001,0.387,-0.001,0.387,0.012,1.98E-05,,,,,,,,,
602,1.15,0.000,0.017,2,61,,,-0.001,0.387,0.011,3.11E-05,,,,,,,,,
603,1.137,-0.013,0.004,3,61,,,-0.001,0.387,0.010,3.97E-05,,,,,,,,,
604,1.16,0.010,0.015,4,61,,,-0.001,0.387,0.010,2.32E-05,,,,,,,,,
605,1.137,-0.013,0.002,5,61,,,-0.001,0.387,0.009,4.99E-05,,,,,,,,,
606,1.15,0.000,0.003,6,61,,,-0.001,0.387,0.008,3.53E-05,,,,,,,,,
607,1.14,-0.010,-0.007,7,61,,,-0.001,0.387,0.008,2.20E-04,,,,,,,,,
608,1.177,0.027,0.021,8,61,,,-0.001,0.387,0.007,1.77E-04,,,,,,,,,
609,1.143,-0.007,0.014,9,61,,,-0.001,0.387,0.007,5.51E-05,,,,,,,,,
610,1.14,-0.010,0.004,10,61,,,-0.001,0.387,0.006,2.12E-06,,,,,,,,,
611,1.153,0.003,0.008,1,62,-0.011,6.976,-0.011,6.976,0.040,1.01E-03,,,,,,,,,
612,1.167,0.017,0.025,2,62,,,-0.011,6.976,0.028,8.82E-06,,,,,,,,,
613,1.173,0.023,0.049,3,62,,,-0.011,6.976,0.017,1.02E-03,,,,,,,,,
614,1.12,-0.030,0.019,4,62,,,-0.011,6.976,0.006,1.88E-04,,,,,,,,,
615,1.12,-0.030,-0.010,5,62,,,-0.011,6.976,-0.006,1.96E-05,,,,,,,,,
616,1.153,0.003,-0.007,6,62,,,-0.011,6.976,-0.017,1.09E-04,,,,,,,,,
617,1.127,-0.023,-0.029,7,62,,,-0.011,6.976,-0.028,5.29E-07,,,,,,,,,
618,1.133,-0.017,-0.046,8,62,,,-0.011,6.976,-0.040,3.46E-05,,,,,,,,,
619,1.143,-0.007,-0.052,9,62,,,-0.011,6.976,-0.051,1.06E-06,,,,,,,,,
620,1.13,-0.020,-0.072,10,62,,,-0.011,6.976,-0.062,8.43E-05,,,,,,,,,
621,1.15,0.000,-0.071,1,63,-0.010,5.948,-0.010,5.948,-0.067,1.78E-05,,,,,,,,,
622,1.14,-0.010,-0.081,2,63,,,-0.010,5.948,-0.077,1.63E-05,,,,,,,,,
623,1.143,-0.007,-0.087,3,63,,,-0.010,5.948,-0.086,7.30E-07,,,,,,,,,
624,1.14,-0.010,-0.097,4,63,,,-0.010,5.948,-0.096,4.53E-07,,,,,,,,,
625,1.133,-0.017,-0.113,5,63,,,-0.010,5.948,-0.106,5.61E-05,,,,,,,,,
626,1.16,0.010,-0.103,6,63,,,-0.010,5.948,-0.115,1.61E-04,,,,,,,,,
627,1.14,-0.010,-0.112,7,63,,,-0.010,5.948,-0.125,1.66E-04,,,,,,,,,
628,1.143,-0.007,-0.119,8,63,,,-0.010,5.948,-0.135,2.58E-04,,,,,,,,,
629,1.12,-0.030,-0.148,9,63,,,-0.010,5.948,-0.144,1.42E-05,,,,,,,,,
630,1.123,-0.027,-0.175,10,63,,,-0.010,5.948,-0.154,4.24E-04,,,,,,,,,
631,1.133,-0.017,-0.191,1,64,0.015,-9.402,0.015,-9.402,-0.198,4.77E-05,,,,,,,,,
632,1.153,0.003,-0.188,2,64,,,0.015,-9.402,-0.183,1.75E-05,,,,,,,,,
633,1.167,0.017,-0.170,3,64,,,0.015,-9.402,-0.169,1.62E-06,,,,,,,,,
634,1.147,-0.003,-0.173,4,64,,,0.015,-9.402,-0.154,3.37E-04,,,,,,,,,
635,1.167,0.017,-0.155,5,64,,,0.015,-9.402,-0.140,2.39E-04,,,,,,,,,
636,1.193,0.043,-0.112,6,64,,,0.015,-9.402,-0.125,1.81E-04,,,,,,,,,
637,1.187,0.037,-0.074,7,64,,,0.015,-9.402,-0.110,1.32E-03,,,,,,,,,
638,1.133,-0.017,-0.091,8,64,,,0.015,-9.402,-0.096,2.78E-05,,,,,,,,,
639,1.153,0.003,-0.087,9,64,,,0.015,-9.402,-0.081,3.39E-05,,,,,,,,,
640,1.153,0.003,-0.084,10,64,,,0.015,-9.402,-0.067,2.86E-04,,,,,,,,,
641,1.127,-0.023,-0.106,1,65,-0.005,3.188,-0.005,3.188,-0.130,5.70E-04,,,,,,,,,
642,1.137,-0.013,-0.119,2,65,,,-0.005,3.188,-0.135,2.74E-04,,,,,,,,,
643,1.127,-0.023,-0.141,3,65,,,-0.005,3.188,-0.140,6.11E-07,,,,,,,,,
644,1.127,-0.023,-0.164,4,65,,,-0.005,3.188,-0.146,3.28E-04,,,,,,,,,
645,1.13,-0.020,-0.183,5,65,,,-0.005,3.188,-0.151,1.05E-03,,,,,,,,,
646,1.147,-0.003,-0.186,6,65,,,-0.005,3.188,-0.156,8.86E-04,,,,,,,,,
647,1.177,0.027,-0.158,7,65,,,-0.005,3.188,-0.161,8.46E-06,,,,,,,,,
648,1.157,0.007,-0.151,8,65,,,-0.005,3.188,-0.166,2.43E-04,,,,,,,,,
649,1.137,-0.013,-0.163,9,65,,,-0.005,3.188,-0.171,6.81E-05,,,,,,,,,
650,1.15,0.000,-0.163,10,65,,,-0.005,3.188,-0.177,1.94E-04,,,,,,,,,
651,1.173,0.023,-0.139,1,66,-0.017,10.736,-0.017,10.736,-0.147,5.69E-05,,,,,,,,,
652,1.133,-0.017,-0.156,2,66,,,-0.017,10.736,-0.163,6.02E-05,,,,,,,,,
653,1.133,-0.017,-0.172,3,66,,,-0.017,10.736,-0.180,6.35E-05,,,,,,,,,
654,1.123,-0.027,-0.199,4,66,,,-0.017,10.736,-0.197,3.31E-06,,,,,,,,,
655,1.12,-0.030,-0.228,5,66,,,-0.017,10.736,-0.214,2.13E-04,,,,,,,,,
656,1.137,-0.013,-0.241,6,66,,,-0.017,10.736,-0.230,1.08E-04,,,,,,,,,
657,1.127,-0.023,-0.263,7,66,,,-0.017,10.736,-0.247,2.62E-04,,,,,,,,,
658,1.137,-0.013,-0.276,8,66,,,-0.017,10.736,-0.264,1.43E-04,,,,,,,,,
659,1.157,0.007,-0.268,9,66,,,-0.017,10.736,-0.280,1.50E-04,,,,,,,,,
660,1.14,-0.010,-0.278,10,66,,,-0.017,10.736,-0.297,3.78E-04,,,,,,,,,
661,1.147,-0.003,-0.280,1,67,0.020,-13.651,0.020,-13.651,-0.324,1.92E-03,,,,,,,,,
662,1.127,-0.023,-0.303,2,67,,,0.020,-13.651,-0.304,1.28E-06,,,,,,,,,
663,1.153,0.003,-0.299,3,67,,,0.020,-13.651,-0.284,2.41E-04,,,,,,,,,
664,1.163,0.013,-0.286,4,67,,,0.020,-13.651,-0.264,4.93E-04,,,,,,,,,
665,1.15,0.000,-0.285,5,67,,,0.020,-13.651,-0.243,1.75E-03,,,,,,,,,
666,1.187,0.037,-0.248,6,67,,,0.020,-13.651,-0.223,6.02E-04,,,,,,,,,
667,1.233,0.083,-0.164,7,67,,,0.020,-13.651,-0.203,1.51E-03,,,,,,,,,
668,1.143,-0.007,-0.171,8,67,,,0.020,-13.651,-0.183,1.47E-04,,,,,,,,,
669,1.163,0.013,-0.157,9,67,,,0.020,-13.651,-0.163,2.99E-05,,,,,,,,,
670,1.167,0.017,-0.140,10,67,,,0.020,-13.651,-0.143,7.84E-06,,,,,,,,,
671,1.147,-0.003,-0.142,1,68,0.018,-11.986,0.018,-11.986,-0.178,1.25E-03,,,,,,,,,
672,1.147,-0.003,-0.145,2,68,,,0.018,-11.986,-0.160,2.33E-04,,,,,,,,,
673,1.137,-0.013,-0.157,3,68,,,0.018,-11.986,-0.142,2.20E-04,,,,,,,,,
674,1.163,0.013,-0.144,4,68,,,0.018,-11.986,-0.125,3.59E-04,,,,,,,,,
675,1.163,0.013,-0.130,5,68,,,0.018,-11.986,-0.107,5.31E-04,,,,,,,,,
676,1.177,0.027,-0.103,6,68,,,0.018,-11.986,-0.090,1.73E-04,,,,,,,,,
677,1.153,0.003,-0.099,7,68,,,0.018,-11.986,-0.072,7.43E-04,,,,,,,,,
678,1.2,0.050,-0.049,8,68,,,0.018,-11.986,-0.054,3.18E-05,,,,,,,,,
679,1.177,0.027,-0.021,9,68,,,0.018,-11.986,-0.037,2.41E-04,,,,,,,,,
680,1.177,0.027,0.006,10,68,,,0.018,-11.986,-0.019,6.47E-04,,,,,,,,,
681,1.143,-0.007,0.000,1,69,0.005,-3.258,0.005,-3.258,-0.015,2.07E-04,,,,,,,,,
682,1.15,0.000,0.000,2,69,,,0.005,-3.258,-0.010,1.03E-04,,,,,,,,,
683,1.143,-0.007,-0.006,3,69,,,0.005,-3.258,-0.005,1.28E-06,,,,,,,,,
684,1.143,-0.007,-0.013,4,69,,,0.005,-3.258,0.000,1.54E-04,,,,,,,,,
685,1.153,0.003,-0.009,5,69,,,0.005,-3.258,0.004,1.87E-04,,,,,,,,,
686,1.16,0.010,0.001,6,69,,,0.005,-3.258,0.009,6.29E-05,,,,,,,,,
687,1.16,0.010,0.012,7,69,,,0.005,-3.258,0.014,4.84E-06,,,,,,,,,
688,1.143,-0.007,0.005,8,69,,,0.005,-3.258,0.019,1.81E-04,,,,,,,,,
689,1.173,0.023,0.029,9,69,,,0.005,-3.258,0.023,2.77E-05,,,,,,,,,
690,1.17,0.020,0.049,10,69,,,0.005,-3.258,0.028,4.41E-04,,,,,,,,,
691,1.16,0.010,0.060,1,70,-0.007,4.979,-0.007,4.979,0.087,7.23E-04,,,,,,,,,
692,1.153,0.003,0.063,2,70,,,-0.007,4.979,0.079,2.66E-04,,,,,,,,,
693,1.163,0.013,0.077,3,70,,,-0.007,4.979,0.072,1.82E-05,,,,,,,,,
694,1.157,0.007,0.084,4,70,,,-0.007,4.979,0.065,3.55E-04,,,,,,,,,
695,1.137,-0.013,0.072,5,70,,,-0.007,4.979,0.058,1.80E-04,,,,,,,,,
696,1.143,-0.007,0.065,6,70,,,-0.007,4.979,0.051,1.96E-04,,,,,,,,,
697,1.16,0.010,0.076,7,70,,,-0.007,4.979,0.044,9.96E-04,,,,,,,,,
698,1.12,-0.030,0.046,8,70,,,-0.007,4.979,0.037,8.35E-05,,,,,,,,,
699,1.127,-0.023,0.024,9,70,,,-0.007,4.979,0.030,3.95E-05,,,,,,,,,
700,1.107,-0.043,-0.019,10,70,,,-0.007,4.979,0.023,1.74E-03,,,,,,,,,
701,1.14,-0.010,-0.028,1,71,-0.010,6.879,-0.010,6.879,-0.043,2.08E-04,,,,,,,,,
702,1.127,-0.023,-0.051,2,71,,,-0.010,6.879,-0.053,3.26E-06,,,,,,,,,
703,1.14,-0.010,-0.060,3,71,,,-0.010,6.879,-0.063,4.73E-06,,,,,,,,,
704,1.14,-0.010,-0.070,4,71,,,-0.010,6.879,-0.072,6.48E-06,,,,,,,,,
705,1.147,-0.003,-0.072,5,71,,,-0.010,6.879,-0.082,9.83E-05,,,,,,,,,
706,1.103,-0.047,-0.119,6,71,,,-0.010,6.879,-0.092,7.14E-04,,,,,,,,,
707,1.13,-0.020,-0.138,7,71,,,-0.010,6.879,-0.102,1.32E-03,,,,,,,,,
708,1.163,0.013,-0.125,8,71,,,-0.010,6.879,-0.112,1.68E-04,,,,,,,,,
709,1.17,0.020,-0.104,9,71,,,-0.010,6.879,-0.122,3.03E-04,,,,,,,,,
710,1.15,0.000,-0.104,10,71,,,-0.010,6.879,-0.132,7.71E-04,,,,,,,,,
711,1.133,-0.017,-0.120,1,72,0.017,-12.489,0.017,-12.489,-0.127,4.50E-05,,,,,,,,,
712,1.137,-0.013,-0.133,2,72,,,0.017,-12.489,-0.110,5.37E-04,,,,,,,,,
713,1.177,0.027,-0.105,3,72,,,0.017,-12.489,-0.092,1.71E-04,,,,,,,,,
714,1.213,0.063,-0.042,4,72,,,0.017,-12.489,-0.075,1.09E-03,,,,,,,,,
715,1.157,0.007,-0.034,5,72,,,0.017,-12.489,-0.058,5.36E-04,,,,,,,,,
716,1.137,-0.013,-0.047,6,72,,,0.017,-12.489,-0.040,4.55E-05,,,,,,,,,
717,1.16,0.010,-0.036,7,72,,,0.017,-12.489,-0.023,1.86E-04,,,,,,,,,
718,1.163,0.013,-0.023,8,72,,,0.017,-12.489,-0.005,3.07E-04,,,,,,,,,
719,1.19,0.040,0.018,9,72,,,0.017,-12.489,0.012,3.12E-05,,,,,,,,,
720,1.167,0.017,0.035,10,72,,,0.017,-12.489,0.029,3.24E-05,,,,,,,,,
721,1.19,0.040,0.076,1,73,-0.011,7.714,-0.011,7.714,0.101,6.42E-04,,,,,,,,,
722,1.173,0.023,0.099,2,73,,,-0.011,7.714,0.090,7.58E-05,,,,,,,,,
723,1.137,-0.013,0.087,3,73,,,-0.011,7.714,0.080,4.57E-05,,,,,,,,,
724,1.137,-0.013,0.074,4,73,,,-0.011,7.714,0.069,2.32E-05,,,,,,,,,
725,1.14,-0.010,0.065,5,73,,,-0.011,7.714,0.059,3.45E-05,,,,,,,,,
726,1.147,-0.003,0.062,6,73,,,-0.011,7.714,0.048,1.94E-04,,,,,,,,,
727,1.13,-0.020,0.043,7,73,,,-0.011,7.714,0.038,2.48E-05,,,,,,,,,
728,1.13,-0.020,0.023,8,73,,,-0.011,7.714,0.027,1.57E-05,,,,,,,,,
729,1.133,-0.017,0.007,9,73,,,-0.011,7.714,0.016,9.82E-05,,,,,,,,,
730,1.143,-0.007,0.000,10,73,,,-0.011,7.714,0.006,3.43E-05,,,,,,,,,
